traffic,driver_id,weather,order_type,vehicle_type,driver_age,driver_rating,rest_lat,rest_lon,dest_lat,dest_lon,temp,humidity,distance
High,CHENRES12DEL01,Foggy,Snack,Bike,32,4.6,12.972.793,80.249.982,13.012.793,80.289.982,26.55,87.0,9.89
High,RANCHIRES15DEL01,Clear,Meal,Bike,33,4.7,23.369.746,8.533.982,23.479.746,8.544.982,17.51,69.0,19.11
High,DEHRES17DEL01,Clear,Snack,Bike,36,4.2,30.327.968,78.046.106,30.397.968,78.116.106,12.44,77.0,11.59
High,PUNERES13DEL03,Clear,Drinks,Bike,23,4.7,1.856.245,73.916.619,1.865.245,74.006.619,19.37,65.0,21.93
High,HYDRES14DEL01,Cloudy,Snack,Bike,34,4.9,17.426.228,78.407.495,17.496.228,78.477.495,21.29,64.0,18.26
High,MUMRES02DEL01,Clear,Buffet,Bike,25,4.0,19.221.315,72.862.381,19.261.315,72.902.381,24.51,47.0,8.97
High,SURRES15DEL03,Clear,Drinks,Bike,35,4.3,21.160.522,72.771.477,21.250.522,72.861.477,22.92,43.0,16.08
High,PUNERES19DEL02,Clear,Drinks,Bike,32,4.6,18.563.934,73.915.367,18.693.935,74.045.367,19.15,64.0,26.35
High,PUNERES02DEL01,Clear,Snack,Bike,33,4.9,1.855.144,73.804.855,1.862.144,73.874.855,18.97,65.0,17.24
High,BANGRES17DEL01,Foggy,Snack,Bike,22,4.8,12.972.532,77.608.179,13.042.532,77.678.179,19.7,93.0,12.08
High,MUMRES17DEL02,Clear,Drinks,Bike,29,4.6,19.121.999,72.908.493,19.201.999,72.988.493,24.42,49.0,19.19
High,MUMRES02DEL03,Clear,Drinks,E-Bike,23,4.9,19.221.315,72.862.381,19.281.315,72.922.381,24.96,48.0,13.2
High,BANGRES05DEL03,Foggy,Drinks,Bike,27,4.9,12.970.324,77.645.748,13.030.324,77.705.748,19.84,93.0,11.37
High,CHENRES11DEL01,Foggy,Drinks,Bike,37,4.8,13.064.181,80.236.442,13.104.181,80.276.442,26.14,88.0,8.68
High,COIMBRES14DEL02,Foggy,Drinks,Bike,28,4.8,11.003.681,76.975.525,11.083.681,77.055.525,23.97,78.0,15.83
High,COIMBRES07DEL03,Foggy,Buffet,Bike,24,4.7,1.096.185,76.971.082,1.105.185,77.061.082,24.04,78.0,19.07
High,SURRES12DEL01,Clear,Drinks,Bike,30,4.4,21.183.434,72.814.492,21.253.434,72.884.492,22.83,42.0,14.97
High,BANGRES13DEL01,Foggy,Drinks,Bike,29,4.6,12.935.662,7.761.413,12.975.662,7.765.413,20.21,91.0,11.19
High,HYDRES13DEL03,Cloudy,Buffet,Bike,26,4.7,17.431.477,7.840.035,17.491.477,7.846.035,21.4,64.0,15.46
High,HYDRES04DEL03,Cloudy,Buffet,Bike,24,4.6,17.411.028,78.329.645,17.471.028,78.389.645,21.27,65.0,12.62
High,AURGRES08DEL02,Foggy,Buffet,Bike,37,4.6,19.876.428,75.364.792,19.956.428,75.444.792,16.17,82.0,15.46
High,JAPRES15DEL03,Foggy,Buffet,E-Bike,36,4.8,26.891.191,75.802.083,26.981.191,75.892.083,19.97,68.0,17.59
High,MYSRES16DEL02,Partly Cloudy,Drinks,Bike,29,5.0,12.316.967,76.603.067,12.366.967,76.653.067,18.28,81.0,13.43
High,BANGRES03DEL03,Foggy,Buffet,Bike,27,4.6,12.979.166,77.640.709,13.069.166,77.730.709,19.22,93.0,18.4
High,MUMRES11DEL01,Foggy,Snack,Bike,23,4.8,18.994.237,72.825.553,19.104.237,72.935.553,27.03,44.0,19.59
High,SURRES08DEL01,Clear,Drinks,Bike,25,4.6,21.173.343,72.792.731,21.283.343,72.902.731,22.85,43.0,21.81
High,KNPRES05DEL02,Clear,Meal,Bike,39,4.7,26.479.108,80.315.042,26.499.108,80.335.042,21.81,55.0,9.52
High,SURRES05DEL02,Clear,Snack,Bike,27,4.6,21.175.104,72.804.342,21.255.104,72.884.342,22.88,43.0,16.35
High,BANGRES15DEL02,Foggy,Snack,Bike,31,4.8,12.975.377,77.696.664,13.025.377,77.746.664,19.58,93.0,16.6
High,RANCHIRES11DEL03,Clear,Buffet,E-Bike,31,4.8,23.359.194,85.325.447,23.419.194,85.385.447,17.84,68.0,11.34
High,RANCHIRES07DEL02,Clear,Drinks,Bike,36,4.9,23.359.407,85.325.055,23.439.407,85.405.055,17.58,69.0,15.03
High,RANCHIRES01DEL03,Clear,Meal,Bike,20,4.9,23.416.792,85.316.842,23.506.792,85.406.842,17.41,69.0,18.92
High,VADRES06DEL01,Clear,Snack,E-Bike,29,4.6,2.231.279,73.170.283,2.242.279,73.280.283,22.47,44.0,20.29
High,INDORES14DEL01,Clear,Snack,Bike,39,4.2,22.761.593,75.886.362,22.871.593,75.996.362,17.32,53.0,24.35
High,CHENRES11DEL01,Foggy,Drinks,Bike,32,4.9,13.064.181,80.236.442,13.104.181,80.276.442,26.14,88.0,8.68
High,RANCHIRES04DEL01,Clear,Snack,Bike,33,4.7,23.359.033,85.325.347,23.469.033,85.435.347,17.88,67.0,19.03
High,SURRES010DEL02,Clear,Meal,E-Bike,29,4.6,2.117.106,72.789.292,2.125.106,72.869.292,22.9,43.0,14.52
High,BANGRES04DEL03,Foggy,Buffet,Bike,26,4.4,1.298.041,77.640.489,1.304.041,77.700.489,19.5,93.0,13.6
High,COIMBRES02DEL01,Foggy,Snack,Bike,24,4.6,11.022.477,76.995.667,11.132.477,77.105.667,25.15,73.0,21.28
High,COIMBRES03DEL02,Foggy,Drinks,Bike,20,4.7,11.025.083,77.015.393,11.105.083,77.095.393,25.02,73.0,15.95
High,MYSRES16DEL02,Partly Cloudy,Meal,Bike,20,5.0,12.316.967,76.603.067,12.446.967,76.733.067,18.12,77.0,26.21
